text,labels
không,"[0,0,0]"
bình thường,"[0,0,0,0]"
một,"[0,0,0]"
��😡😡😡😡,"[0,0,0,0,0,0,0,0]"
này nặng mùi quá =))),"[0,0,0,0,0,0,0,0,0,0]"
z mà tính 6h mới đi🥲,"[0,0,0,0,0,0,0,0,0]"
cười,"[0,0,0]"
zô cười chung nè,"[0,0,0,0,0,0,0]"
cười,"[0,0,0]"
Zừa quá,"[0,0,0,0,0]"
Zừa lòng t lắm🤣🤣,"[1,1,1,1,1,1,1,1,1,1,0]"
Zừa lòng kao lắm.,"[1,1,1,1,1,1,1,1,1,0]"
Zừa hay gì má,"[0,0,0,0,0,0,0]"
Zừa,"[0,0,0,0]"
Zui v troi kkkk,"[0,0,0,0,0,0,0,0,0,0]"
zui quá z🇻🇳🇻🇳🇻🇳,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Zui he,"[0,0,0,0,0]"
Zoo zuyeen,"[1,1,1,1,1,1,0]"
Zo duyên kinh dị,"[1,1,1,1,1,0,0]"
Zinh Zinh thành vết nhơ luôn,"[0,0,0,0,0,0,1,1,0,0]"
zinh zinh thành vết nhơ luôn,"[0,0,0,0,0,0,1,1,0,0]"
Zi mà ko di trời,"[0,0,0,0,0,0,0,0]"
Zay đó mà nhiều lũ quỷ âm binh nó cứ đâm đầu vào khổ người khác,"[0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0]"
Zả zô cái mỏ 😂,"[0,0,0,0,0,0,0,0,0]"
z z zzz,"[0,0,0,0,0,0]"
"Z mà nó k ngỏm ,đúng mấy thằng ác hay sống tới cuối phim","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Z mà k.boi thêm cho 1 viên nữa mà đi kết liễu do ngu,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Z mà k chết uổng z,"[0,0,0,0,0,0,0,0]"
z mà k chết uổng z,"[0,0,0,0,1,0,0,0]"
Z mà k chết trời,"[1,1,1,1,1,1,0]"
Z mà k chết . mấy thằng ác sống giai,"[0,0,0,0,1,0,1,1,1,0,0,0]"
z mà hk chết mẹ cho rôi,"[0,0,0,0,0,0,0,0,0,0,0]"
Z mà đéo khốg chế đễ z trời,"[0,0,0,1,1,0,0,0,0,0,0,0,0,0]"
Z là ly thân dữ chưa Lâm ĐN,"[1,1,1,1,1,1,1,1,1,0]"
z đó chứ bảo mất nết lại tự ái,"[0,0,0,0,0,0,0,0,0,0,0]"
Z đó chứ bảo mất nết lại tự ái,"[0,0,0,0,0,1,1,0,0,0,0]"
Yuna Le vô can dùm a đi,"[0,0,0,0,0,0,0,0,0,0]"
Yêu việt Nam.lắm luôn,"[0,0,0,0,0,0,0,0]"
Yêu Việt Nam vô cùng 🇻🇳🇻🇳,"[0,0,0,0,0,0,0,0,0,0,0]"
Yêu v tr,"[0,0,0,0,0]"
Yêu tổ quốc thì ít phong trào thì nhiều.,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu tổ quốc thì ít phong trào thì nhiều,"[0,0,0,0,0,0,0,0,0,0,0]"
Yêu tổ quá nhưng quên yêu đồng bào r ha ha,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu quý rất tốt nhưng cuồng lực nta đang làm vjk thì là,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu quái chứ yêu nước gi dòng thứ co tư duy dựt ck ng ta à trời,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu quái chứ yêu nước cái gì,"[0,0,0,0,0,0,0,0,0]"
Yêu quá Việt Nam ơi ❤️,"[0,0,0,0,0,0,0,0,0]"
Yêu quá,"[0,0,0,0]"
Yêu nước Việt ❤️❤️❤️🇻🇳🇻🇳🇻🇳. Mong mọi người bình an ạ!,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước văn minh đừng làm ảnh hưởng đến cs và gđ người khác được không 🫡,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước thôi xin đừng làm khùng làm điên,"[0,0,0,0,1,1,1,1,1,1,0]"
"Yêu nước thì ít, yêu quái thì nhiều","[0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước quá vỗ tay nào,"[0,0,0,0,0,0,0,0]"
Yêu nước quá ❤❤❤ vỗ tay nào,"[0,0,0,0,0,0,0,0,0,0,0]"
yêu nước phong trào chứ có biết ý nghĩa gì đâu,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước nhưng ko yêu thương nhau yêu phong trào,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước nhưng ko yêu thương nhau ... yêu phong trào,"[0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước nhưng hơi dốt tí,"[0,0,0,0,1,1,1,0]"
Yêu nước nhất thời đây mà..!,"[0,0,0,0,0,0,0,0,0,0]"
Yêu nước mõm,"[0,0,0,0,0]"
"Yêu nước mà, phải vậy chứ giờ giới trẻ nghĩ vậy ko đấy","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước mà ý thức trên trời,"[0,0,0,0,0,0,0,0,0]"
Yêu nước mà như v theo mình nghĩ là tỏ vẻ chứ có ai khùng như con mẹ đó,"[0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0]"
Yêu nước mà lại ko yêu nhau à,"[0,0,0,0,0,0,0,0,0,0]"
yêu nước mà lại ko yêu nhau à,"[0,0,0,0,0,0,0,0,0,0]"
Yêu nước mà cũng tranh giành,"[0,0,0,0,0,0,0,0]"
yêu nước mà cũng tranh giành,"[0,0,0,0,0,0,0,0]"
"Yêu nước là tốt, nhưng yêu quá hóa làm càn thì ko ổn nha mấy má.","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
"Yêu nước là tốt, mà sao kh có ý thức vậy tr","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước là tốt nhưng tỉnh táo,"[0,0,0,0,0,0,0,0,0]"
Yêu nước là tốt nhma đừng làm gì vượt quá giới hạn,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước là phải vừa đội vừa. đoàn . vừa đảng . nó mới chất như nước cất,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước là OK,"[0,0,0,0,0,0]"
Yêu nước hay cố tình gây rối v mẹ 😃,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước ghe,"[0,0,0,0,0]"
Yêu nước được rồi chứ đừng làm yêu tinh nhền nhện 😌,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Yêu nước đến bể đầu bể cổ 🤣🤣🤣,"[0,0,0,0,0,0,0,0,0,0,0,0]"
yêu nước đến bể đầu bể cổ,"[0,0,0,0,0,0,0,0,0]"
