text,labels
không,"[0,0,0]"
bình_thường,"[0,0]"
một,"[0,0,0]"
� � 😡 😡 😡 😡,"[0,0,0,0,0,0,0,0]"
này nặng_mùi quá = ) ) ),"[0,0,0,0,0,0,0,0]"
z mà tính 6h mới đi 🥲,"[0,0,0,0,0,0,0,0,0]"
cười,"[0,0,0]"
zô cười chung nè,"[0,0,0,0,0,0,0]"
cười,"[0,0,0]"
Zừa quá,"[0,0,0,0,0]"
Zừa lòng t lắm 🤣 🤣,"[1,1,1,1,1,1,1,1,0]"
Zừa lòng kao lắm .,"[1,1,1,1,1,1,1,0,0]"
Zừa hay gì má,"[0,0,0,0,0,0,0]"
Zừa,"[0,0,0,0]"
Zui v troi kkkk,"[0,0,0,0,0,0,0,0,0,0]"
zui quá z 🇻 🇳 🇻 🇳 🇻 🇳,"[0,0,0,0,0,0,0,0,0,0,0,0]"
Zui_he,"[0,0]"
Zoo_zuyeen,"[0,0]"
Zo duyên kinh_dị,"[1,1,1,1,0]"
Zinh Zinh thành vết nhơ luôn,"[0,0,0,0,0,0,1,1,0,0]"
zinh zinh thành vết nhơ luôn,"[0,0,0,0,0,0,1,1,0,0]"
Zi mà ko_di_trời,"[0,0,0,0,0]"
Zay đó mà nhiều lũ quỷ âm_binh nó cứ đâm_đầu_vào khổ người khác,"[0,0,0,0,0,0,1,1,0,0,0,0,0,0]"
Zả zô cái mỏ 😂,"[0,0,0,0,0,0,0,0,0]"
z z zzz,"[0,0,0,0,0,0]"
"Z mà nó k ngỏm , đúng mấy thằng ác hay sống tới cuối phim","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0]"
Z mà k . boi thêm cho 1 viên nữa mà đi kết_liễu do ngu,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
Z mà k chết uổng z,"[0,0,0,0,0,0,0,0]"
z mà k chết uổng z,"[0,0,0,0,1,0,0,0]"
Z mà k chết trời,"[1,1,1,1,1,1,0]"
Z mà k chết . mấy thằng ác sống giai,"[0,0,0,0,1,0,1,1,1,0,0,0]"
z mà hk chết mẹ cho rôi,"[0,0,0,0,0,0,0,0,0,0,0]"
